NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
WOOLWORTHS GROUP,AU000000WOW2,556562,556562,535039,661521,661521,553801,553801,460765,460765,364760,463027
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,,,,,,,,,,,
HEALIUS,AU0000033359,,,,,,4674,5921,6497,6497,6533,6189
OVATO DEAD - DELIST.29/08/22,AU0000038911,,,,,,,,,,,
AMPOL,AU0000088338,,,,,,,673668,576611,551804,727358,727358
WOODSIDE ENERGY GROUP,AU0000224040,,,,,,,,,3541000,5357000,5357000
SOLVAY,BE0003470755,9914980,11400000,11400000,10166866,10200000,10350000,10590000,8890000,9590000,9270000,6620000
KBC GROUP,BE0003565737,25166,25166,33685,35901,41730,37629,34739,25199,19511,21596,29047
COFINIMMO,BE0003593044,133,133,105,109,87,70,7181,5780,6021,6021,4265
SOFINA,BE0003717312,,,14652,122,105,214,378,535,69495,190,216
ORANGE BELGIUM,BE0003735496,7972,5590,5590,4994,4874,5516,2601,2743,3505,3505,
UCB,BE0003739530,40420,34733,37573,37583,26871,27508,26121,30647,27777,27777,20547
AGFA-GEVAERT,BE0003755692,58572,58572,24583,29409,26203,26576,26576,26576,78813,83000,83000
GBL NEW,BE0003797140,732321,732321,236664,131441,136092,63475,35007,38075,100,100,166
PROXIMUS,BE0003810273,52968,43100,46018,42547,45448,38000,36000,26600,26600,26600,27400
ELIA GROUP,BE0003822393,3158699,60302,2122151,176362,18087,18087,36755.72509,19797,15807,17009,15781.34
COLRUYT GROUP,BE0974256852,35084,35084,27137,35991,34076,152509,139899,147473,170907,83194,83194
BEKAERT (D),BE0974258874,5279799,5279799,3457839,59736,49859,50484,305903,305903,316854,316951,316951
AGEAS (EX-FORTIS),BE0974264930,5453,5453,4908,3837,5511,5665,5540,5540,10317,10317,11229
VIOHALCO,BE0974271034,,,,,,,,,,,
ANHEUSER-BUSCH INBEV,BE0974293251,,,3373822,2995200,3708000,3708000,3591200,2590500,2985570,2363169,2603520
UMICORE,BE0974320526,,,,438356,375481,395732,403117,364286,372699,346439,346439
TITAN CEMENT,BE0974338700,,,,,,10900000,10300000,10300000,10500000,10500000,10500000
ARCH CAP.GP.,BMG0450A1053,2276,2276,1832,2074,2146,2991,3341,3963,1165,1069,1443
AXIS CAPITAL HDG.,BMG0692U1099,2712,2712,2232,2047,2131,2736,2850,2290,2290,499,499
CHINESE ESTATES HDG.,BMG2108M2182,,,,,,710,3,3,1,0,487
CHINA YURUN FOOD GROUP,BMG211591018,128775,128775,108328,118391,,,,,,,
CKI HOLDINGS,BMG2178K1009,,,,1893004,7464392,8944665,8486783,8009254,3082802,3503841,4432609
COSCO SHIPPING PORTS,BMG2442N1048,90708,90708,60675,519459,519459,50064,221031,219941,245656,220388,220388
DFI RETAIL GROUP HOLDINGS,BMG2624N1535,,,,177654,159813,163141,161355,,,,
ESPRIT HOLDINGS,BMG3122U1457,6025,6025,4766,1383,1383,1214,,,,,
EVEREST GROUP,BMG3223R1088,2701,2701,1922,3251,3057,3739.603653,3606,4109,4961,0,0
GUOCO GROUP,BMG420981224,,,,,,,,,,,
HONG KONG LAND HDG.,BMG4587L1090,32415,32415,10917,11869,16453,16453,1838,1838,1419,4167,2107
HISCOX DI,BMG4593F1389,,452,593,593,373,750,747,467,467,786,786
HOPSON DEVELOPMENT HOLDINGS,BMG4600H1198,,,,,,,,1438,1299,1299,3001
HUABAO INTL.HDG.,BMG4639H1227,35458,35458,35436,20620,33968,45191,45754,35588,10293,10293,6968
JARDINE MATHESON HDG.,BMG507361001,,,2801115,1199019,444628,421810,408357,408357,359366,4112571,4992100
KERRY PROPERTIES,BMG524401079,25626,25626,11594,2829,3100,3100,11209,6631,4360,4360,4230
KUNLUN ENERGY,BMG5320C1082,3397909,3397909,3011320,1502863,2737366,3422927,4203002,4480380,480112,460708,460708
NABORS INDUSTRIES,BMG6359F1370,,,,,,,848434,848434,848434,1195970,1195970
CTF SERVICES,BMG668971101,77559,389673,381746,399180,370531,370531,296391,287969,282313,19001,19001
ORIENT OVERSEAS (INTL.),BMG677491539,5849,5285450,5897352,5375230,,,,,5544130,5815100,6277700
PACIFIC BASIN SHIP.,BMG684371393,704110,704110,665902,1028000,1313000,1389000,1389000,1430000,1430000,3093000,3093000
RENAISSANCERE HDG.,BMG7496G1033,666,666,415,751,994,1179.273,2054,2427,78,78,55
SEADRILL,BMG7997W1029,,,,,,,,,,,586063.19
SHANGRI-LA ASIA,BMG8063F1068,145188,145188,147014,150733,154812,176314,169615,118676,109716,107000,107000
SIGNET JEWELERS,BMG812761002,11038,11038,20859,21538,18762,15612,4953,5450,6395,6395,6395
SINOFERT HOLDINGS,BMG8403G1033,3105115,3105115,1280297,108065,74275,94732,1584918,1001131,1390803,1390803,1671996
STOLT-NIELSEN,BMG850801025,2126369,2126369,1630396,840102,959604,1297649,1253282,1798538,1626515,1578587,1644764
TRANSPORT INTL.HDG.,BMG9031M1082,,,,,,,,,,,
VALARIS,BMG9460G1015,,,,,,,,,736491,540639,628597
WHITE MOUNTAINS IN.GP.,BMG9618E1075,1494,1494,1280,18751,5295,2021,142,346,626,381,417
YUE YUEN INDL.HDG.,BMG988031446,7986,7986,165993,168337,173043,125502,73000,55100,55100,50000,50000
AMBEV ON,BRABEVACNOR1,786596,786596,363047,388229,550241,530196,457821,592995,581763,507055,576070
BANCO DO BRASIL ON,BRBBASACNOR3,7443,7305,5628,10833,10833,11784,24382,24382,27611,20517,38479.62
BANCO BRADESCO PN,BRBBDCACNPR8,40704,40704,11504,4709,6351,13591,10333,13634,13634,14226,14226.06
BRF BRASIL FOODS ON,BRBRFSACNOR8,648468,359559,361060,439962,439962,285881,254928,282512,282512,318393,299853
BRASKEM PN A,BRBRKMACNPA4,9771021,9384512,9384512,9253000,9252570,10182558,9756560,10035761,10035761,10045179,10104170
CMPH.COCS. RODOVIARIAS ON,BRCCROACNOR2,48264,48264,55621,52274,60582,49600,55562,63846,61863,61863,75437
CMPH.ENGT.DE SAOP.B PN DEAD - DELIST.29/03/22,BRCESPACNPB4,3463,3016,2596,3635,3635,2768,0,0,,,
CIA ENERGETICA DE MINAS GERAIS PN,BRCMIGACNPR3,156618,617717,164537,15462,15462,35568,51939,51939,12847,83357,83357
CPFL ENERGIA ON,BRCPFEACNOR0,299697,678399,93834,231000,,,425400,425400,607300,127540,127540
CIA PARANAENSE DE ENERGIA COPEL PN B,BRCPLEACNPB9,196495,194507,175724,213451,296008,213982,13127,13127,25534,15583,50083
COSAN INDUSTRIA E COMERCIO ON,BRCSANACNOR6,1461400,835970,484432,236362,542038,1416166,1457767,1459040,3307687,3307687,3738494.51
COMPANHIA SIDERURGICA NACIONAL ON,BRCSNAACNOR6,11482337,11482337,9407989,5614142,8254615,8746458,5786413,5413743,17293887,12149354,11579509.78
CYRELA BRAZIL REALTY ON,BRCYREACNOR7,13468,10036,9020,4421,3796,3570,3774,4387,3212,3876,3957
DEXCO ON,BRDXCOACNOR8,,,,,,,,290135,348443,348443,303445
ENGIE BRASIL ENERGIA ON,BREGIEACNOR9,,,6099410,4801366,4403997,4341641,5265263,5265263,5429609,5429609,1094000
CENTRAIS ELETR BRAS- ELETROBRAS PN B,BRELETACNPB7,10270407,9358352,8413812,6954216,5803061,5350290,5227207,5227207,5955500,5955500,3958097
EMBRAER ON,BREMBRACNOR4,37883,37883,31401,38061,42543,33479,33479,39009,44787,44787,43246
GAFISA ON,BRGFSAACNOR3,4629,4629,3335,,1084,813,1152,,,,
GERDAU PN,BRGGBRACNPR8,,20363075,14223275,13055004,14941125,14779755,9056519,9056519,14028970,10003674,9636231
METALURGICA GERDAU PN,BRGOAUACNPR8,20363075,20363075,14223265,12742860,14986006,14779755,11340978,11340978,14028970,10003674,9636231.73
GOL LINHAS AEREAS INTELIGENTES PN,BRGOLLACNPR4,3624766,3624766,,2658586,3316779,3394307,3743873,1774322,1901225,3427002,
ITAUSA INVESTIMENTOS ITAU PN,BRITSAACNPR7,366658,366658,426005,351950,343106,351485,216785,15070,15070,17048,23186.64
ITAU UNIBANCO HOLDING PN,BRITUBACNPR1,63758,16175,9872,10895,7720,7720,19521,13501,15121,17048,22925
KLABIN PN,BRKLBNACNPR9,,425273,426300,645830,645830,668952,713886,713886,703830,773934,773934.08
LIGHT ON,BRLIGTACNOR2,14014,10104,37994,38727,40419,38605,38605,13929,382673,11102,17475
CMPBRA.DE DISTB.ON,BRPCARACNOR3,415070,403811,403811,444527,475951,295056,600308,612378,612378,420744,
PETROLEO BRASILEIRO PN,BRPETRACNPR6,71572262,71572262,79156699,76900000,66600000,61300000,58777777,55636715,61400000,61400000,45800000
LOCALIZA RENT A CAR ON,BRRENTACNOR4,220289,220289,193455,12208,14513,11643,18351,18351,13862,31122,31122
CPAD.SANMT.BASICO DE SAOP.ON,BRSBSPACNOR5,1912750,1912750,2018912,1909847,1771135,2130164,2021759,2116867,1578077,2143712,2143712
SUZANO ON,BRSUZBACNOR0,758241,,,847458,869348,983341,983341,2142410,2155102,2328335,2421049
USINAS SIDERURGICAS DE MINAS GERAIS PN A,BRUSIMACNPA6,12191097,13735132,,11537518,11634988,14514941,15883381.21,7652833,6339665,7056009,5879313
VALE ON,BRVALEACNOR0,14064604,13800000,13800000,13281547,13500000,13500000,11300000,9620000,9620000,9800000,8600000
TELEFONICA BRASIL ON,BRVIVTACNOR0,,13743,12660,27694,28787,36433,28801,28801,63018,32912,32912
WEG ON,BRWEGEACNOR0,23411,23411,14017,17295,23599,20824,32370,33392,45737,47719,54864
ARC RESOURCES,CA00208D4084,,643647,763457,727207,641337,636615,505159,505159,516128,2625894,2625894
AGNICO-EAGLE MNS. (NYS),CA0084741085,297138,297138,337190,325922,335519,339567,442418,442418,568699,568699,907744
AIMIA,CA00900Q1037,,,,,,716,,,,,
ALIMENTATION COUCHE TARD,CA01626P1484,,,,,,,,,31548,31548,121557
BCE,CA05534B7604,,106426,133570,128880,128880,137027,148889,142996,139187,134288,138759
BALLARD PWR.SYS. (NAS),CA0585861085,956,956,,,3056,4402,2305,1394,1445,1635,1635
BANK OF MONTREAL,CA0636711016,24226,26041,22734,19311,19311,25800,45672,31621,31621,34083,33350
BK.OF NOVA SCOTIA,CA0641491075,17426,21641,15314,12409,13950,13476,15221,12783,12433,28797,28797
BARRICK GOLD (NYS),CA0679011084,3736781,3736781,3411861,3462064,2753000,2753000,5885000,5885000,6134000,5967450,5967450
BAUSCH HEALTH (NYS) COMPANIES,CA0717341071,,,,,227798,203290,121029,194500,202952,202952,131831
BLACKBERRY (NYS),CA09228F1036,16173,16173,13178,11268,6748,5091,3658,2476,2476,1776,1734.98
BOMBARDIER 'B',CA0977518616,,,,,,,,,76877,55213,69716
BROOKFIELD A (NYS),CA11271J1075,,,,,,,,,,433,363
CAE,CA1247651088,,594,646,721,18625,25213,23626,20996,20039,22115,22115
CGI A,CA12532H1047,,,,,,25882,26060,15997,15997,12196,17543
CI FINANCIAL,CA1254911003,874,874,643,479,501,593,691,691,531,598,378
CAMECO,CA13321L1085,192119,198136,181163,159288,159288,143000,116000,120918,100418,122019,155633.26
CANADIAN IMP.BK.COM.,CA1360691010,23002,23002,28723,28723,20623,22412,23172,22149,22149,22157,21321
CANADIAN NATIONAL RY.,CA1363751027,5220949,5220949,5665910,5526925,5064024,5776183,5771894,5234302,5084159,5040996,4968856
CANADIAN NATURAL RES.,CA1363851017,17742354,17742354,19455465,19777354,18774161,21970000,22120000,22730000,23150007,23243129,30815398.35
CANADIAN PACIFIC KANSAS CITY,CA13646K1084,,,,,,,,,,3368644,3008855
CANADIAN TIRE 'A',CA1366812024,41101,46205,48041,44345,44345,49242,53605,54432,54114,61312,137705
CANADIAN UTILITIES 'A',CA1367178326,,12910000,10353000,10378000,3051374,2600642,2351664,859000,734000,776000,682000
ELDORADO GOLD,CA2849025093,,,,,67268,43875,43875,53773,121969,121969,111135
EMPIRE 'A',CA2918434077,328415,328415,270972,294811,252541,277079,239473,152762,152762,411362,400460
ENBRIDGE,CA29250N1050,2691765,2691765,2285000,2206000,2450000,10680000,7536584,6853000,7431000,7715000,7480000
ENERPLUS DEAD - DELIST.04/06/24,CA2927661025,616536,,693953,645950,534458,742810,954520,954520,628686,941897,
ENSIGN EN.SVS.,CA2935701078,720993,720993,341945,188609,136276,172937,240614,381449,219089,353180,468527
FAIRFAX FINL.HDG.,CA3039011026,1665,1665,2692,3584,4272,8555,6522,9365,9365,10435,10435
FINNING INTL.,CA3180714048,42765,42765,44191,55179,60864,62511,59538,47595,47839,52431,52431
FIRST QUANTUM MRLS.,CA3359341052,995862,1196800,1296327,1262636,1434000,1814000,3300000,3732000,3901000,4016000,4016000
FORTIS,CA3495531079,7630406,293444,10338490,10663697,10890824,11137000,12308000,10418000,9742000,8748000,12569601.66
FRANCO-NEVADA,CA3518581051,95819,95819,94431,114953,18606,25958,231,306,325,0,0
GILDAN ACTIVEWEAR,CA3759161035,118396,94849,85853,110491,102086,118729,97059,79916,79916,91095,120838
GREAT WEST LIFECO,CA39138C1068,10988,10988,11744,10293,14919,14814,19386,16358,16358,15241,4706.94
IGM FINL.,CA4495861060,2275,2275,472,655,655,778,835,835,241,34,617
IMPERIAL OIL,CA4530384086,10495008,10500000,10711614,10902225,11743020,10335501,12392021,15408547,21400000,22700000,23200000
INTACT FINANCIAL,CA45823T1066,6969,6865,5276,6047,7385,7521,7211,6876,12084,13594,18898
KINROSS GOLD (NYS),CA4969024047,793182,793182,777000,838454,983000,983000,1100106,1100106,1121578,1038791,1038791
LOBLAW,CA5394811015,,,526766,497134,494369,494369,460458,458618,402911,625531,726052
MAGNA INTL.,CA5592224011,440078,440078,437709,415736,471560,478873,546361,417286,436267,370527,424561
MANULIFE FINANCIAL,CA56501R1064,197190,197190,250788,377899,383761,431932,714636,555933,162749,162749,140202
METHANEX,CA59151K1084,3046790,,3167862,4682115,4791255,4093573,4485902,4485902,3919000,3840000,3840000
METRO,CA59162N1096,190201,190201,142975,220216,218523,223957,231076,231076,281198,266631,270469.8
NATIONAL BANK OF CANADA,CA6330671034,2966,2966,2729,2615,2330,2483,2330,2634,2479,2484,2237
NUTRIEN,CA67077M1086,,,,,7700000,11690000,10530000,10420000,10420000,11052529,10269000
OBSIDIAN ENERGY,CA6744822033,,,,,,,,,93826,271316,331795
ONEX,CA68272K1030,3252691,3252691,786524,539907,606943,249067,272483,4572,118,81,81
OPEN TEXT (NAS),CA6837151068,,3164,2214,1485,1525,1748,1763,2590,2261,2728,2728
PAN AMERICAN SILVER,CA6979001089,266507,266507,207663,189747,189747,237937,164645,274522,294799,294799,274133
POWER CORP.CANADA,CA7392391016,1869,1869,2305,15572,21309,20967,26136,18481,18481,13514,5197.61
PRECISION DRILLING,CA74022D4075,,,,,,,301336,346116,319934,12400,12400
RB GLOBAL (NYS),CA74935Q1072,,,,,,,,,,32520,31755
RIOCAN REIT.TST.,CA7669101031,15677,15677,9793,6106,6802,7532,16468,16468,20766,31772,25345
ROGERS COMMS.'B',CA7751092007,40625,36885,38197,33558,32132,34419,33300,29456,29456,27398,43538
ROYAL BANK OF CANADA,CA7800871021,,35127,35127,23247,24676,24174,24814,23268,20956,22840,23873
SAPUTO,CA8029121057,355006,355006,381001,382601,381618,407267,560141,528089,528089,526478,520783
SHAW COMMS.'B' DEAD - DELIST.05/04/23,CA82028K2002,19630,19630,17172,12971,13498,13738,15766,15766,18181,20233,
SHERRITT INTL.RESTRCTD VTG,CA8239011031,136244,1974666,,,,,,,,,
STANTEC,CA85472N1096,11691,11691,12027,11189,10631,10333,7540,7540,9755,12502,15136
SUN LIFE FINL.,CA8667961053,32088,30363,28899,27229,29606,29788,23894,18971,17422,15046,15046
SUNCOR ENERGY,CA8672241079,18982272,18957327,18442506,17430853,17430853,20577000,21432133,19564861,20159000,33520000,28369510.76
SUNOPTA (NAS),CA8676EP1086,,,,,,,,39430,38884,38884,42610
TC ENERGY,CA87807B1076,,,,,12300000,12500000,14427861,14427861,19352227,21132249,19058616.74
TECK RESOURCES SUBORDINATE VOTING B,CA8787422044,2722000,2723246,2469000,2552000,2682000,2598000,2936000,2582000,2851000,2733000,2733000
TELUS,CA87971M1032,70800,70800,85459,75483,77564,64861,61393,52869,51075,50689,48366
THOMSON REUTERS (NYS),CA8849038085,,,,,,,,,,4164,4000
TORONTO-DOMINION BANK,CA8911605092,49385,49385,49821,47150,46415,53270,50711,42512,38924,43021,40346
TRANSALTA,CA89346D1078,30652500,34890300,32041400,30532722,29700000,20600000,20400000,20400000,12400000,10200000,10871000
TRICAN WELL SER.,CA8959451037,324972,324972,,128840,37763,125287,,,92847,163620,163832
WESTON GEORGE,CA9611485090,84504,84504,521551,92093,78330,84353,83338,77048,77048,86109,84402
YAMANA GOLD DEAD - DELIST.04/04/23,CA98462Y1007,383168,383168,390374,250691,250691,300431,206727,206727,215976,194531,
YELLOW PAGES,CA9855721069,,2508,1209,,,,,,,,
OC OERLIKON CORPORATION,CH0000816824,43170,43170,1549,1549,1331,1695,1536,1554,13747,19000,19000
SWISS PRIME SITE,CH0008038389,14861,14861,18000,13400,15352,15352,16234,13029,13029,9303,9461
SWISSCOM 'R',CH0008742519,25486,21400,21400,20618,20057,16171,16295,14420,14429,12305,12305
CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH0010570759,136489,151036,149440,44505,44505,44587,43606,46288,46288,60484,58406
GIVAUDAN 'N',CH0010645932,103703,103703,98001,99740,107220,108706,105959,98180,139608,154590,154590
ZURICH INSURANCE GROUP,CH0011075394,31948,31948,35666,30284,27167,23293,20995,16437,18668,18668,19036
BASILEA PHARMACEUTICA 'R',CH0011432447,362,362,318,750,804,1310,1992,1745,1940,2996,3243
NOVARTIS 'R',CH0012005267,643547,628000,530800,531300,531410,546790,484600,396400,336600,347200,248700
ROCHE HOLDING,CH0012032048,403136,356348,379547,326001,295319,289636,288157,251943,254060,249961,249961
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH0012138530,22490,22490,16630,21420,16520,17200,15600,15650,15650,,
